date,city,sector,stage,channel,funding_usd,revenue_usd,employees,burn_rate_usd
2024-01-27,Bengaluru,Deeptech,Series B,Bootstrapped,4587753.48,208091.07,71,626131.92
2024-01-28,Mumbai,SaaS,Series A,Angel Funded,8139331.2,1583900.35,371,1476746.87
2024-01-29,Mumbai,D2C,Series A,VC Funded,3197358.77,540252.9,168,529146.77
2024-01-31,Bengaluru,SaaS,Pre-Seed,Bootstrapped,6852216.13,2314443.61,397,939834.15
2024-01-31,Mumbai,Fintech,Series B,Angel Funded,7326748.51,1013763.07,229,631947.53
2024-01-31,Mumbai,Healthtech,Series C,Angel Funded,6445441.81,1119616.38,229,482574.94
2024-02-01,Pune,D2C,Seed,Angel Funded,2786250.37,435731.15,29,681121.32
2024-02-01,Chennai,Edtech,Series C,VC Funded,1946128.25,399361.78,249,503059.33
2024-02-02,Pune,Fintech,Series C,VC Funded,6157930.29,508021.01,63,631007.3
2024-02-05,Delhi,SaaS,Series A,Angel Funded,4137381.3,365233.13,376,453916.94
2024-02-05,Pune,Deeptech,Series A,VC Funded,13194907.52,339592.51,59,1803805.61
2024-02-05,Bengaluru,Deeptech,Seed,Bootstrapped,7707782.29,420969.63,448,1040554.85
2024-02-07,Hyderabad,Edtech,Series B,VC Funded,2545231.72,388970.82,168,778704.98
2024-02-07,Hyderabad,D2C,Series B,Angel Funded,1589162.03,693508.97,353,273667.41
2024-02-07,Chennai,Fintech,Seed,Bootstrapped,6656217.46,871641.33,179,1140423.4
2024-02-08,Chennai,Deeptech,Series B,Bootstrapped,9157032.23,314965.31,86,2202796.25
2024-02-08,Hyderabad,D2C,Pre-Seed,VC Funded,2706434.68,426649.82,12,659826.75
2024-02-08,Hyderabad,Healthtech,Series A,Angel Funded,5656227.59,842833.39,441,654499.73
2024-02-09,Delhi,Healthtech,Seed,Angel Funded,5250202.13,785682.53,105,743283.33
2024-02-09,Pune,Edtech,Series C,Bootstrapped,1555281.71,280850.65,132,627566.57
2024-02-09,Pune,Healthtech,Pre-Seed,Angel Funded,5539954.3,233725.59,119,1168196.89
2024-02-10,Hyderabad,Healthtech,Pre-Seed,Angel Funded,5847508.27,374291.25,142,733473.98
2024-02-10,Pune,Deeptech,Series A,VC Funded,4172229.45,138928.96,43,492817.69
2024-02-11,Delhi,Edtech,Pre-Seed,Bootstrapped,2833982.17,345319.94,337,552900.81
2024-02-12,Chennai,SaaS,Pre-Seed,Bootstrapped,6819626.39,2037576.21,284,741656.76
2024-02-13,Pune,D2C,Series A,VC Funded,815400.55,143360.86,467,146117.64
2024-02-13,Bengaluru,Deeptech,Seed,Bootstrapped,3506195.75,257775.72,110,1039876.74
2024-02-13,Pune,Healthtech,Pre-Seed,Angel Funded,4764491.76,982140.58,264,766275.07
2024-02-14,Delhi,SaaS,Seed,Bootstrapped,6558797.16,1723104.48,177,365587.35
2024-02-14,Bengaluru,Healthtech,Series B,Angel Funded,7557183.35,859451.48,398,766686.16
2024-02-15,Delhi,D2C,Pre-Seed,Angel Funded,2544131.39,298036.05,202,133485.8
2024-02-16,Delhi,Fintech,Series B,VC Funded,4129074.06,1018270.96,499,383441.17
2024-02-16,Chennai,D2C,Seed,Bootstrapped,2009497.48,307833.11,194,225721.78
2024-02-17,Chennai,SaaS,Series A,VC Funded,8365423.41,1171340.37,500,1137100.46
2024-02-17,Mumbai,Deeptech,Series A,VC Funded,12678754.73,110100.35,28,1254797.45
2024-02-17,Delhi,D2C,Series C,Bootstrapped,2863513.94,361637.38,339,237670.05
2024-02-17,Bengaluru,Edtech,Series C,Bootstrapped,2966642.36,223976.73,387,254752.74
2024-02-18,Mumbai,SaaS,Pre-Seed,Bootstrapped,8936380.72,618851.86,448,683974.24
2024-02-18,Pune,Edtech,Series B,VC Funded,2020549.83,81176.17,344,817796.18
2024-02-18,Bengaluru,Edtech,Series B,VC Funded,1194023.35,164285.87,353,212801.56
2024-02-18,Bengaluru,Fintech,Seed,Angel Funded,11663582.14,824374.47,462,1234033.04
2024-02-18,Pune,Fintech,Seed,VC Funded,11512729.59,1181511.29,295,1670497.73
2024-02-21,Mumbai,Deeptech,Seed,Bootstrapped,3761709.91,329020.65,382,575369.81
2024-02-21,Mumbai,Fintech,Series C,Angel Funded,6340319.09,1550018.25,166,1320151.65
2024-02-21,Bengaluru,D2C,Pre-Seed,Bootstrapped,4358153.54,754416.95,454,443116.96
2024-02-21,Pune,D2C,Series C,VC Funded,2735787.71,626453.7,321,208493.86
2024-02-22,Bengaluru,Healthtech,Series A,Bootstrapped,3019608.5,1162715.63,390,522391.01
2024-02-22,Delhi,Deeptech,Pre-Seed,Angel Funded,4301410.04,73308.32,367,1479165.17
2024-02-22,Pune,Deeptech,Pre-Seed,VC Funded,4755743.82,60873.29,444,2646401.41
2024-02-22,Bengaluru,Healthtech,Series A,Bootstrapped,5428142.95,1094419.4,90,784796.57
2024-02-22,Mumbai,Fintech,Seed,Bootstrapped,6988436.77,994446.4,213,493793.06
2024-02-24,Hyderabad,Edtech,Series C,VC Funded,2467101.4,342709.6,108,499934.94
2024-02-24,Hyderabad,Edtech,Seed,Angel Funded,1843098.6,77074.25,132,717254.12
2024-02-27,Delhi,SaaS,Seed,Bootstrapped,2025962.53,1833067.81,373,208021.4
2024-02-28,Delhi,SaaS,Pre-Seed,Bootstrapped,7425743.14,1569993.87,274,1362078.16
2024-02-29,Bengaluru,Edtech,Series C,VC Funded,1992574.99,223372.7,491,507411.84
2024-02-29,Delhi,SaaS,Series B,Bootstrapped,9159019.87,900608.97,333,1454683.22
2024-02-29,Delhi,Edtech,Series C,Bootstrapped,691817.27,262834.23,181,225658.13
2024-03-01,Mumbai,Edtech,Series C,Angel Funded,1441514.02,301656.35,328,325862.44
2024-03-02,Chennai,D2C,Seed,VC Funded,1399153.92,393098.16,375,234942.26
2024-03-03,Hyderabad,Edtech,Series B,Angel Funded,1874716.53,250034.6,167,749911.36
2024-03-04,Delhi,Fintech,Seed,Bootstrapped,6993192.2,938159.72,430,961525.55
2024-03-04,Hyderabad,Healthtech,Series A,Angel Funded,3786153.0,831320.25,195,271350.63
2024-03-06,Bengaluru,SaaS,Series A,Bootstrapped,8401451.12,1327004.4,78,580421.21
2024-03-06,Bengaluru,Healthtech,Pre-Seed,VC Funded,9299789.16,277980.55,478,1178761.44
2024-03-07,Bengaluru,SaaS,Series C,Angel Funded,5783596.96,591822.63,28,487781.67
2024-03-07,Pune,Fintech,Series C,Angel Funded,8116833.82,1151218.04,215,979861.06
2024-03-10,Pune,D2C,Pre-Seed,VC Funded,1328290.34,600593.31,433,81723.73
2024-03-10,Delhi,Fintech,Series B,Bootstrapped,10916133.87,756650.34,446,1265270.99
2024-03-11,Pune,SaaS,Pre-Seed,VC Funded,8888823.28,671796.29,86,1852571.86
2024-03-14,Delhi,SaaS,Pre-Seed,Angel Funded,4822528.32,1524153.98,100,881916.3
2024-03-14,Pune,Deeptech,Series B,VC Funded,4514760.29,140238.43,335,556515.06
2024-03-15,Delhi,Fintech,Series A,Angel Funded,3290294.36,1496653.1,340,333269.95
2024-03-15,Mumbai,Fintech,Series A,Bootstrapped,9460719.89,428758.06,366,1360659.9
2024-03-15,Chennai,Healthtech,Seed,Angel Funded,3856204.5,325015.07,328,400055.88
2024-03-15,Delhi,Edtech,Seed,Angel Funded,966887.49,318111.81,43,137667.42
2024-03-16,Bengaluru,Edtech,Series A,Angel Funded,2755199.38,295729.43,171,445709.59
2024-03-17,Pune,Edtech,Pre-Seed,Angel Funded,1569836.22,168659.15,76,508251.85
2024-03-17,Pune,Healthtech,Pre-Seed,VC Funded,2210709.37,959732.31,315,374108.11
2024-03-18,Mumbai,SaaS,Seed,Angel Funded,3711623.02,1206330.51,174,588374.75
2024-03-18,Bengaluru,Edtech,Series C,Bootstrapped,1944386.16,324076.78,346,590247.7
2024-03-19,Chennai,SaaS,Series B,VC Funded,5592533.77,1579785.06,303,727929.9
2024-03-19,Mumbai,Deeptech,Pre-Seed,Bootstrapped,3220182.99,94333.15,271,837210.79
2024-03-19,Mumbai,Healthtech,Seed,Bootstrapped,4918737.08,430644.62,286,889905.75
2024-03-20,Chennai,SaaS,Seed,VC Funded,4800911.95,1494781.57,63,972286.1
2024-03-21,Chennai,Healthtech,Series C,VC Funded,2790124.74,1053704.74,80,190405.31
2024-03-21,Hyderabad,Deeptech,Series B,Bootstrapped,10806464.3,317009.76,152,1234460.68
2024-03-21,Hyderabad,SaaS,Pre-Seed,Bootstrapped,3618545.65,1764727.44,72,819345.67
2024-03-21,Pune,SaaS,Series B,VC Funded,2598921.94,1362961.84,128,301940.07
2024-03-22,Hyderabad,Fintech,Seed,Angel Funded,6837114.14,823997.22,224,1661867.03
2024-03-22,Chennai,Fintech,Series B,VC Funded,11085932.51,542509.86,423,2590675.78
2024-03-22,Chennai,SaaS,Series A,Bootstrapped,3243836.0,2312714.67,177,228502.47
2024-03-24,Delhi,Fintech,Series C,VC Funded,11788871.68,1023083.55,469,2848598.91
2024-03-25,Bengaluru,SaaS,Series A,Angel Funded,9874190.26,1005184.12,340,518317.8
2024-03-28,Mumbai,Fintech,Series C,Bootstrapped,8697103.69,567528.52,472,1449210.79
2024-03-29,Mumbai,Edtech,Seed,VC Funded,702422.16,86645.3,354,160478.47
2024-03-29,Hyderabad,Fintech,Pre-Seed,Angel Funded,3175325.69,596571.98,25,744664.23
2024-03-30,Bengaluru,Fintech,Seed,Angel Funded,3397557.84,1098145.91,182,404050.84
2024-03-30,Hyderabad,Edtech,Pre-Seed,Bootstrapped,2491105.51,123345.95,388,1006515.72
2024-03-30,Bengaluru,Deeptech,Pre-Seed,VC Funded,1652728.44,394313.74,126,533229.26
2024-03-31,Delhi,Deeptech,Pre-Seed,VC Funded,3369855.5,131190.01,401,705320.45
2024-04-01,Bengaluru,Fintech,Series C,VC Funded,6382594.82,1299482.33,134,1045974.13
2024-04-04,Delhi,SaaS,Series A,VC Funded,5566202.17,897123.77,243,571538.54
2024-04-08,Mumbai,D2C,Series B,VC Funded,2015644.92,270734.36,132,453312.88
2024-04-11,Hyderabad,Fintech,Series C,VC Funded,8976347.23,1475439.57,428,704169.82
2024-04-11,Hyderabad,D2C,Series B,Bootstrapped,763350.13,232803.68,147,153025.06
2024-04-15,Chennai,D2C,Series B,VC Funded,3446668.06,370062.2,33,484899.53
2024-04-18,Hyderabad,Healthtech,Series A,Bootstrapped,3526530.93,769492.31,294,777545.46
2024-04-18,Pune,Deeptech,Seed,Angel Funded,2696238.2,398350.78,337,840445.09
2024-04-18,Chennai,SaaS,Series B,Angel Funded,5670814.82,900355.54,131,1128479.65
2024-04-18,Delhi,Deeptech,Pre-Seed,VC Funded,2351352.85,247677.36,85,297064.89
2024-04-19,Chennai,Deeptech,Seed,Bootstrapped,4157164.86,210410.52,116,699833.83
2024-04-22,Bengaluru,Fintech,Pre-Seed,VC Funded,4126204.27,339265.95,174,203680.46
2024-04-22,Delhi,Fintech,Series A,VC Funded,7876086.18,468764.21,239,1284826.67
2024-04-22,Pune,SaaS,Series A,VC Funded,3408802.94,1568739.8,417,673651.11
2024-04-23,Chennai,Edtech,Pre-Seed,Bootstrapped,1927947.75,258570.85,373,429018.55
2024-04-23,Chennai,Edtech,Seed,Bootstrapped,2163809.6,234515.62,447,743126.99
2024-04-23,Hyderabad,Healthtech,Pre-Seed,Bootstrapped,1819541.32,692047.26,125,231506.11
2024-04-23,Pune,Deeptech,Series C,Angel Funded,9966219.55,255580.04,233,1244022.53
2024-04-23,Mumbai,Edtech,Series B,VC Funded,1691948.81,396204.91,196,375525.57
2024-04-24,Bengaluru,Fintech,Series A,Bootstrapped,12005498.15,1176534.79,277,1162273.46
2024-04-24,Chennai,Edtech,Seed,Angel Funded,652591.85,231575.41,68,134127.52
2024-04-26,Chennai,Fintech,Series C,Bootstrapped,4205120.62,1095474.33,322,861718.47
2024-04-27,Mumbai,SaaS,Series A,VC Funded,4205197.82,2272317.14,376,854067.21
2024-04-27,Pune,Healthtech,Seed,Angel Funded,2640791.94,435639.34,391,512803.97
2024-04-28,Hyderabad,Deeptech,Series A,Bootstrapped,6063920.5,63195.13,416,867447.78
2024-04-29,Bengaluru,Edtech,Seed,Angel Funded,1119995.24,115108.36,235,205635.47
2024-04-29,Delhi,Edtech,Series C,VC Funded,1265459.63,394569.56,71,333328.59
2024-04-29,Hyderabad,Fintech,Series C,Angel Funded,5780062.82,1069711.79,336,362082.83
2024-04-30,Bengaluru,Fintech,Pre-Seed,VC Funded,14108018.15,1379843.79,81,2603354.79
2024-05-01,Delhi,Healthtech,Series A,Bootstrapped,5704353.64,930059.93,167,801755.86
2024-05-01,Mumbai,SaaS,Series B,Bootstrapped,3709978.39,1178122.2,35,307658.95
2024-05-01,Delhi,Deeptech,Series B,VC Funded,9470807.18,305939.87,456,1555188.16
2024-05-03,Chennai,Deeptech,Pre-Seed,Angel Funded,4728897.53,173056.33,27,1424105.23
2024-05-03,Hyderabad,Fintech,Series A,Bootstrapped,4979188.83,371663.85,153,1190409.42
2024-05-03,Chennai,SaaS,Series B,Bootstrapped,8343462.95,549828.84,118,1091994.31
2024-05-03,Mumbai,D2C,Series A,VC Funded,901621.21,399462.05,456,197067.29
2024-05-03,Pune,SaaS,Series C,Bootstrapped,5070769.71,1869080.15,409,1256007.3
2024-05-04,Mumbai,D2C,Seed,VC Funded,3239453.51,434753.63,305,301885.55
2024-05-04,Delhi,SaaS,Series A,Bootstrapped,4920124.3,2261416.99,107,828772.34
2024-05-04,Pune,Edtech,Series C,VC Funded,1394375.17,204965.59,241,223962.47
2024-05-04,Delhi,Deeptech,Series C,Bootstrapped,8679125.87,240513.46,222,2163934.28
2024-05-04,Hyderabad,D2C,Seed,Bootstrapped,1321831.11,461629.67,387,298555.72
2024-05-05,Bengaluru,SaaS,Pre-Seed,Bootstrapped,8967886.66,566710.06,346,1368214.61
2024-05-05,Bengaluru,SaaS,Series A,Bootstrapped,12170356.07,870096.37,496,2073613.72
2024-05-06,Delhi,Deeptech,Pre-Seed,VC Funded,3856303.83,264002.67,316,1031408.58
2024-05-06,Delhi,Fintech,Series B,Bootstrapped,5985769.77,1350750.88,229,1335174.4
2024-05-07,Delhi,SaaS,Series C,VC Funded,7417467.02,890740.26,94,416983.43
2024-05-07,Bengaluru,Healthtech,Series B,VC Funded,5434537.07,542801.06,173,461472.33
2024-05-08,Bengaluru,Deeptech,Series B,Bootstrapped,12550835.63,113856.61,438,1478892.74
2024-05-09,Hyderabad,Fintech,Pre-Seed,Bootstrapped,7417465.6,1024748.77,356,450401.97
2024-05-10,Delhi,Healthtech,Pre-Seed,VC Funded,4484311.97,619268.11,71,565209.36
2024-05-12,Chennai,D2C,Seed,Angel Funded,3448773.47,494388.61,118,417497.06
2024-05-12,Mumbai,Healthtech,Seed,Angel Funded,6186743.88,454139.78,458,455414.53
2024-05-14,Mumbai,Deeptech,Series B,Angel Funded,11468009.36,250708.33,62,745979.93
2024-05-15,Mumbai,Edtech,Pre-Seed,Bootstrapped,1215979.06,96731.76,5,120847.02
2024-05-16,Hyderabad,Fintech,Series A,Bootstrapped,7089977.46,570762.74,361,674763.44
2024-05-17,Pune,Fintech,Seed,Angel Funded,9174684.59,356561.94,181,1941693.84
2024-05-17,Chennai,SaaS,Series C,Angel Funded,2714294.8,1261101.86,472,583013.93
2024-05-17,Delhi,Healthtech,Series B,VC Funded,1879602.9,623369.79,220,206663.19
2024-05-18,Chennai,Deeptech,Series C,VC Funded,11215371.01,346569.65,402,686241.52
2024-05-19,Hyderabad,Deeptech,Series B,Bootstrapped,10284912.09,200822.47,115,2067150.38
2024-05-20,Delhi,Fintech,Series C,Angel Funded,7931908.77,1458234.23,207,1694854.51
2024-05-20,Hyderabad,Fintech,Series A,VC Funded,5217151.07,674805.01,281,344934.72
2024-05-20,Bengaluru,D2C,Pre-Seed,Angel Funded,3881171.4,720646.97,467,320163.29
2024-05-20,Pune,Fintech,Series A,Angel Funded,3241906.56,867969.78,24,198981.77
2024-05-20,Pune,Healthtech,Pre-Seed,Angel Funded,6378943.33,867513.61,417,1517820.97
2024-05-21,Chennai,Healthtech,Series A,Bootstrapped,5436717.63,1151231.55,338,596724.46
2024-05-21,Pune,Fintech,Series C,VC Funded,3356129.62,1219301.54,255,540455.15
2024-05-22,Hyderabad,Deeptech,Series A,VC Funded,7442171.61,131232.39,141,1416722.02
2024-05-22,Chennai,Healthtech,Series B,Bootstrapped,3463735.68,182522.55,401,760059.52
2024-05-22,Delhi,Deeptech,Series C,Bootstrapped,11154217.42,346844.8,174,2653001.93
2024-05-22,Bengaluru,D2C,Seed,Angel Funded,3483937.53,413939.77,125,176250.04
2024-05-23,Bengaluru,Deeptech,Series A,VC Funded,10816776.14,459826.51,442,1019582.73
2024-05-23,Hyderabad,Edtech,Pre-Seed,Angel Funded,2086023.72,143566.82,156,520735.22
2024-05-24,Hyderabad,SaaS,Series C,Angel Funded,4874076.44,893585.72,267,1104282.41
2024-05-24,Hyderabad,D2C,Series C,Bootstrapped,3648804.46,591050.29,415,623699.96
2024-05-26,Bengaluru,Deeptech,Pre-Seed,Angel Funded,5267058.07,228868.85,302,1629377.32
2024-05-26,Mumbai,SaaS,Series C,Angel Funded,7237644.99,1308575.91,231,1339872.26
2024-05-27,Chennai,D2C,Seed,VC Funded,2075189.35,310611.55,305,227919.81
2024-05-28,Bengaluru,SaaS,Pre-Seed,Bootstrapped,4387481.08,2751759.83,240,730364.34
2024-05-28,Bengaluru,Fintech,Series A,Angel Funded,11086178.55,1803238.31,176,911730.14
2024-05-28,Hyderabad,Deeptech,Series C,Angel Funded,9289411.72,207446.18,356,2313941.2
2024-05-29,Chennai,Fintech,Series B,Angel Funded,7493032.15,1101337.01,128,753322.01
2024-05-30,Delhi,Healthtech,Series B,VC Funded,2965184.59,600292.78,354,618252.54
2024-05-31,Mumbai,Deeptech,Pre-Seed,VC Funded,2486265.75,189200.0,406,1098806.24
2024-05-31,Pune,Deeptech,Seed,VC Funded,4132581.6,277166.77,212,2225374.17
2024-05-31,Chennai,Healthtech,Pre-Seed,Bootstrapped,7277359.76,323572.16,499,692243.85
2024-06-01,Delhi,Deeptech,Seed,Angel Funded,4583943.65,167793.85,183,1857614.72
2024-06-02,Hyderabad,Fintech,Series A,Bootstrapped,9238063.92,1572661.32,303,1030372.7
2024-06-03,Mumbai,Healthtech,Pre-Seed,Angel Funded,3662612.3,264068.94,345,845184.61
2024-06-03,Chennai,D2C,Pre-Seed,Angel Funded,3097906.04,311586.24,224,564761.49
2024-06-05,Pune,D2C,Pre-Seed,Angel Funded,3630326.33,164043.98,395,332383.9
2024-06-05,Chennai,Deeptech,Series A,Bootstrapped,13745795.7,349539.3,240,1380074.34
2024-06-05,Bengaluru,Edtech,Series A,Angel Funded,1221038.65,230493.01,310,121436.14
2024-06-06,Hyderabad,Healthtech,Series A,Bootstrapped,5013424.17,653035.84,65,722471.09
2024-06-06,Bengaluru,Edtech,Series C,VC Funded,2089825.43,464163.5,77,515304.05
2024-06-06,Mumbai,Fintech,Seed,Angel Funded,11969494.45,356488.69,253,2551951.88
2024-06-07,Chennai,Deeptech,Series B,VC Funded,10140494.74,378920.75,163,1640574.0
2024-06-07,Chennai,Healthtech,Seed,Bootstrapped,6174707.21,257906.97,329,449551.58
2024-06-07,Mumbai,Edtech,Series A,Bootstrapped,1060812.56,399992.05,84,115686.94
2024-06-09,Chennai,Healthtech,Series A,Bootstrapped,2284596.91,557951.0,292,162747.34
2024-06-09,Mumbai,SaaS,Series A,Bootstrapped,7878994.92,1651121.02,500,1301419.73
2024-06-09,Mumbai,SaaS,Series C,Bootstrapped,6370185.75,1738771.9,449,1236993.96
2024-06-09,Hyderabad,Edtech,Series B,Angel Funded,1089340.04,230618.63,318,425031.78
2024-06-09,Bengaluru,Fintech,Series C,Bootstrapped,9787054.98,1679638.86,85,462068.82
2024-06-09,Hyderabad,D2C,Series C,VC Funded,1905586.3,448069.89,135,112195.79
2024-06-10,Bengaluru,Fintech,Series B,Angel Funded,16229907.73,1913629.4,42,1966651.34
2024-06-10,Delhi,Edtech,Series A,VC Funded,1237474.83,104498.62,335,226869.18
2024-06-12,Delhi,Fintech,Pre-Seed,Bootstrapped,4201052.03,750622.72,379,273070.42
2024-06-14,Bengaluru,Fintech,Seed,Angel Funded,12411052.44,519177.15,61,2093612.58
2024-06-14,Chennai,Healthtech,Series A,Angel Funded,3104058.4,1055177.18,465,576919.87
2024-06-15,Mumbai,SaaS,Seed,Bootstrapped,8382658.85,1054291.24,455,1418605.75
2024-06-15,Pune,D2C,Pre-Seed,VC Funded,1216739.71,553889.35,30,224845.88
2024-06-16,Hyderabad,D2C,Pre-Seed,Bootstrapped,2846027.64,539325.23,438,278135.1
2024-06-18,Mumbai,Deeptech,Series B,Angel Funded,6087178.56,123307.68,382,714771.33
2024-06-20,Hyderabad,Deeptech,Series C,VC Funded,6605223.42,265091.83,360,595594.96
2024-06-22,Chennai,Edtech,Series B,Angel Funded,1748474.81,121974.52,74,182482.8
2024-06-22,Chennai,D2C,Pre-Seed,Angel Funded,2691916.07,144217.55,53,434993.83
2024-06-24,Hyderabad,Healthtech,Seed,VC Funded,7188506.12,1116569.52,211,386920.96
2024-06-24,Chennai,Fintech,Pre-Seed,VC Funded,8761795.22,1377914.96,13,655797.91
2024-06-26,Delhi,Edtech,Pre-Seed,Angel Funded,2208058.97,307957.22,176,512733.33
2024-06-26,Chennai,Deeptech,Pre-Seed,Bootstrapped,1207017.79,283483.31,439,596316.68
2024-06-27,Hyderabad,Fintech,Series B,Angel Funded,9467632.66,673716.88,158,557990.18
2024-06-28,Mumbai,Deeptech,Pre-Seed,Angel Funded,1393239.06,70550.2,131,313033.43
2024-06-28,Delhi,Edtech,Seed,VC Funded,2184079.64,195478.43,147,811278.52
2024-06-28,Hyderabad,Fintech,Series A,Angel Funded,12481505.98,613395.29,410,2990330.13
2024-06-29,Mumbai,Edtech,Series C,Bootstrapped,1041714.65,362383.94,333,419198.79
2024-07-01,Mumbai,Deeptech,Series C,VC Funded,7540609.3,309558.29,155,569087.32
2024-07-01,Pune,SaaS,Series B,VC Funded,7437558.86,1707770.69,48,1520486.05
2024-07-02,Pune,Fintech,Series A,Angel Funded,8136064.87,1005828.09,101,1768287.2
2024-07-02,Bengaluru,SaaS,Seed,VC Funded,11078245.78,2791453.61,263,1539142.89
2024-07-02,Pune,Healthtech,Seed,Angel Funded,6758968.71,364758.57,54,974347.07
2024-07-04,Chennai,SaaS,Seed,Bootstrapped,3409095.69,1424363.36,338,354602.13
2024-07-04,Bengaluru,SaaS,Pre-Seed,VC Funded,7131035.88,1412301.15,45,708459.31
2024-07-05,Bengaluru,Healthtech,Seed,Angel Funded,3896331.97,341819.39,404,485473.08
2024-07-05,Bengaluru,Healthtech,Series B,Angel Funded,2738050.93,585360.55,74,516379.84
2024-07-05,Chennai,Edtech,Pre-Seed,Bootstrapped,1384125.9,201271.05,107,176319.09
2024-07-06,Hyderabad,Healthtech,Pre-Seed,Bootstrapped,1806946.12,753053.2,190,290276.11
2024-07-10,Mumbai,D2C,Series C,VC Funded,2546833.75,395720.4,62,600593.63
2024-07-10,Pune,Deeptech,Series C,Angel Funded,6392122.53,292700.47,251,401216.98
2024-07-11,Mumbai,Edtech,Seed,Angel Funded,2450634.75,335074.86,89,793338.27
2024-07-12,Bengaluru,D2C,Series A,Angel Funded,3387227.03,741258.73,300,230481.83
2024-07-13,Mumbai,Deeptech,Seed,VC Funded,3948337.3,298177.11,102,530927.72
2024-07-13,Delhi,D2C,Pre-Seed,Angel Funded,3389850.74,537730.79,461,258072.95
2024-07-13,Bengaluru,Healthtech,Series A,Angel Funded,4013262.76,269183.34,240,485436.91
2024-07-13,Delhi,SaaS,Series A,VC Funded,5762454.69,1888009.49,31,1440507.45
2024-07-14,Pune,Healthtech,Series B,VC Funded,6725094.88,333794.02,107,797152.24
2024-07-14,Pune,Healthtech,Series C,Bootstrapped,7456152.26,481135.37,429,1354379.96
2024-07-15,Chennai,SaaS,Series C,Angel Funded,5784372.93,711287.45,211,455638.15
2024-07-15,Hyderabad,Edtech,Series B,Angel Funded,1889710.25,372514.74,481,787316.0
2024-07-15,Pune,Fintech,Series C,VC Funded,9290620.57,1530400.0,195,1289425.33
2024-07-15,Bengaluru,Fintech,Series C,VC Funded,12748567.92,1838511.98,461,1122292.0
2024-07-16,Delhi,Healthtech,Series C,VC Funded,3500172.22,774394.3,77,816762.71
2024-07-16,Delhi,Edtech,Series B,Angel Funded,1794056.14,374265.56,270,309008.65
2024-07-18,Delhi,Healthtech,Pre-Seed,VC Funded,1531171.33,494432.8,189,309708.95
2024-07-18,Hyderabad,Fintech,Series B,Bootstrapped,5036502.61,262089.43,408,319877.91
2024-07-21,Hyderabad,Fintech,Series B,Angel Funded,6766640.18,721362.82,470,591608.86
2024-07-21,Delhi,Fintech,Seed,Angel Funded,3230295.26,816228.44,363,202707.43
2024-07-22,Pune,Healthtech,Series C,Bootstrapped,4041451.41,590322.96,332,635772.7
