date,region,product,channel,units_sold,revenue
2024-05-19,West,Headphones,Retail,16,2379.26
2024-05-20,East,Laptop,Partner,44,35504.06
2024-05-21,North,Smartwatch,Online,6,1422.41
2024-05-22,North,Phone,Partner,28,16263.24
2024-05-22,East,Smartwatch,Retail,44,12058.53
2024-05-22,South,Laptop,Online,48,35988.85
2024-05-22,East,Phone,Retail,50,28734.02
2024-05-23,North,Tablet,Online,29,11471.69
2024-05-24,West,Laptop,Partner,15,13017.39
2024-05-26,East,Laptop,Partner,22,16801.72
2024-05-26,North,Laptop,Partner,39,31244.1
2024-05-26,North,Smartwatch,Partner,44,10847.26
2024-05-27,South,Laptop,Retail,7,5891.61
2024-05-27,West,Smartwatch,Online,30,6882.09
2024-05-27,East,Tablet,Partner,4,1730.54
2024-05-29,West,Smartwatch,Online,21,5119.86
2024-05-31,South,Phone,Partner,41,26553.45
2024-05-31,East,Headphones,Online,13,1806.54
2024-06-01,West,Tablet,Partner,40,14592.74
2024-06-02,East,Smartwatch,Partner,35,8732.23
2024-06-03,South,Headphones,Retail,7,994.81
2024-06-06,East,Headphones,Online,30,4669.81
2024-06-07,South,Phone,Retail,50,29917.63
2024-06-08,West,Headphones,Partner,13,1784.64
2024-06-09,West,Smartwatch,Partner,8,1954.08
2024-06-09,East,Tablet,Online,44,19088.91
2024-06-11,North,Headphones,Retail,44,6622.92
2024-06-12,South,Tablet,Retail,27,9818.75
2024-06-12,South,Headphones,Online,18,2672.78
2024-06-13,South,Tablet,Online,43,17273.1
2024-06-14,East,Phone,Retail,5,2981.35
2024-06-14,South,Tablet,Partner,19,8125.82
2024-06-15,South,Smartwatch,Retail,45,12194.48
2024-06-15,West,Smartwatch,Partner,19,4706.03
2024-06-16,East,Tablet,Retail,39,16279.11
2024-06-17,West,Tablet,Partner,46,19825.77
2024-06-18,East,Laptop,Partner,20,16022.79
2024-06-18,West,Laptop,Online,7,5329.79
2024-06-19,West,Phone,Retail,11,6979.33
2024-06-19,West,Headphones,Retail,13,2137.5
2024-06-19,South,Laptop,Partner,41,30268.01
2024-06-20,East,Headphones,Partner,35,5275.53
2024-06-20,North,Phone,Partner,20,11339.14
2024-06-21,East,Headphones,Partner,42,6601.89
2024-06-21,North,Headphones,Retail,12,1795.52
2024-06-23,South,Tablet,Retail,47,18139.68
2024-06-23,South,Tablet,Partner,21,8793.46
2024-06-24,North,Smartwatch,Partner,12,2723.49
2024-06-24,West,Phone,Partner,31,18035.68
2024-06-24,South,Tablet,Partner,32,12162.87
2024-06-25,West,Phone,Retail,33,20044.14
2024-06-25,East,Headphones,Partner,17,2527.99
2024-06-26,South,Tablet,Online,47,19798.24
2024-06-27,North,Headphones,Online,26,3901.57
2024-06-28,East,Headphones,Online,39,6094.34
2024-06-29,West,Tablet,Partner,4,1464.01
2024-06-29,South,Smartwatch,Retail,12,3098.62
2024-06-29,East,Headphones,Retail,35,5509.89
2024-06-30,East,Tablet,Retail,39,16227.69
2024-06-30,South,Tablet,Partner,44,18121.08
2024-07-02,East,Smartwatch,Retail,3,784.46
2024-07-03,West,Headphones,Online,47,7006.98
2024-07-04,East,Laptop,Retail,33,26137.87
2024-07-04,East,Phone,Online,16,10325.78
2024-07-05,East,Tablet,Retail,27,11392.84
2024-07-06,North,Headphones,Online,37,5618.62
2024-07-07,West,Headphones,Partner,29,4693.33
2024-07-09,South,Smartwatch,Online,38,10367.59
2024-07-10,East,Laptop,Retail,5,3875.84
2024-07-10,North,Smartwatch,Partner,43,11682.89
2024-07-12,West,Laptop,Partner,43,36976.93
2024-07-13,East,Smartwatch,Online,44,10613.42
2024-07-13,South,Headphones,Partner,42,6858.77
2024-07-13,West,Smartwatch,Partner,23,5529.69
2024-07-13,East,Headphones,Partner,24,3357.11
2024-07-16,East,Phone,Retail,45,26986.63
2024-07-16,West,Smartwatch,Retail,34,8077.4
2024-07-18,East,Headphones,Retail,28,4365.14
2024-07-20,East,Laptop,Partner,13,10591.83
2024-07-20,North,Laptop,Partner,28,20767.93
2024-07-21,East,Smartwatch,Retail,22,5434.25
2024-07-21,East,Phone,Retail,3,1723.55
2024-07-21,North,Laptop,Online,20,17425.04
2024-07-22,West,Phone,Partner,19,12258.97
2024-07-22,East,Laptop,Retail,1,762.31
2024-07-26,South,Tablet,Partner,38,14801.82
2024-07-26,West,Smartwatch,Online,45,10633.18
2024-07-26,West,Tablet,Online,26,9403.38
2024-07-27,North,Phone,Online,30,19609.42
2024-07-27,South,Phone,Online,4,2171.9
2024-07-27,West,Smartwatch,Online,45,11196.21
2024-07-28,West,Phone,Partner,20,11380.85
2024-07-30,East,Tablet,Online,36,15691.74
2024-07-31,North,Headphones,Partner,27,4405.63
2024-07-31,North,Laptop,Partner,10,7757.33
2024-08-02,South,Phone,Retail,3,1688.34
2024-08-02,East,Tablet,Online,43,17943.7
2024-08-03,East,Laptop,Retail,2,1679.69
2024-08-03,West,Laptop,Retail,24,19720.65
2024-08-04,South,Tablet,Retail,16,6879.34
2024-08-04,North,Tablet,Partner,20,7762.63
2024-08-06,North,Laptop,Online,45,38908.29
2024-08-06,East,Laptop,Retail,43,31616.25
2024-08-06,West,Phone,Partner,31,18414.26
2024-08-08,South,Tablet,Partner,24,10106.6
2024-08-08,South,Phone,Retail,2,1200.06
2024-08-08,South,Phone,Partner,5,3109.08
2024-08-08,South,Tablet,Retail,39,16995.51
2024-08-09,South,Smartwatch,Partner,25,5732.12
2024-08-11,South,Laptop,Retail,39,32878.6
2024-08-11,East,Tablet,Online,6,2293.89
2024-08-12,East,Smartwatch,Partner,34,7663.3
2024-08-13,North,Tablet,Online,18,6963.62
2024-08-13,North,Smartwatch,Retail,47,10883.82
2024-08-14,West,Phone,Partner,31,19692.7
2024-08-15,North,Laptop,Retail,39,29005.6
2024-08-15,North,Tablet,Partner,23,9585.55
2024-08-16,North,Headphones,Online,33,4866.27
2024-08-17,South,Smartwatch,Online,20,5465.6
2024-08-18,South,Headphones,Partner,40,6201.83
2024-08-18,East,Laptop,Partner,47,40077.14
2024-08-18,West,Phone,Retail,36,23505.74
2024-08-18,West,Tablet,Online,15,5745.73
2024-08-20,East,Tablet,Retail,18,7562.89
2024-08-20,West,Headphones,Partner,7,1010.64
2024-08-22,East,Laptop,Online,30,24581.56
2024-08-22,East,Phone,Online,48,27861.77
2024-08-23,East,Tablet,Online,15,5428.4
2024-08-23,East,Smartwatch,Retail,44,11598.38
2024-08-23,South,Headphones,Online,47,7080.66
2024-08-23,South,Tablet,Online,9,3758.63
2024-08-24,North,Headphones,Partner,42,5907.18
2024-08-24,South,Laptop,Retail,25,19309.41
2024-08-24,East,Headphones,Partner,34,5017.03
2024-08-25,West,Smartwatch,Partner,41,11247.39
2024-08-25,East,Headphones,Online,9,1227.24
2024-08-26,West,Laptop,Online,27,21122.54
2024-08-26,East,Smartwatch,Online,5,1235.43
2024-08-27,North,Phone,Online,44,27583.86
2024-08-28,West,Tablet,Online,38,15005.09
2024-08-28,South,Tablet,Partner,37,16233.94
2024-08-29,North,Phone,Partner,14,8502.29
2024-08-29,North,Phone,Online,36,23664.57
2024-08-29,South,Headphones,Retail,40,5406.3
2024-08-30,West,Headphones,Partner,42,6905.83
2024-08-31,East,Laptop,Online,44,38196.12
2024-09-01,North,Laptop,Retail,32,23419.3
2024-09-02,West,Headphones,Partner,7,1047.96
2024-09-02,South,Tablet,Retail,1,376.94
2024-09-02,West,Tablet,Online,4,1520.79
2024-09-03,South,Headphones,Online,11,1610.06
2024-09-03,East,Smartwatch,Online,46,12295.55
2024-09-04,South,Headphones,Retail,30,4115.68
2024-09-04,West,Laptop,Online,35,28289.2
2024-09-06,North,Smartwatch,Online,16,4104.93
2024-09-07,South,Smartwatch,Partner,4,1004.79
2024-09-08,South,Laptop,Online,5,3961.63
2024-09-08,North,Headphones,Retail,27,3914.98
2024-09-10,North,Phone,Partner,38,22033.9
2024-09-10,West,Tablet,Partner,1,427.77
2024-09-11,North,Laptop,Retail,33,26174.18
2024-09-14,South,Laptop,Partner,6,5137.29
2024-09-14,East,Laptop,Partner,19,14797.33
2024-09-16,North,Headphones,Retail,3,462.21
2024-09-16,East,Laptop,Retail,47,36085.14
2024-09-18,South,Tablet,Retail,47,20522.92
2024-09-18,South,Headphones,Retail,26,3871.19
2024-09-19,South,Headphones,Online,15,2392.52
2024-09-19,North,Headphones,Partner,15,2450.44
2024-09-21,West,Laptop,Online,15,10953.66
2024-09-22,East,Laptop,Partner,28,20513.59
2024-09-22,West,Smartwatch,Online,17,4483.72
2024-09-22,West,Phone,Partner,33,18373.53
2024-09-23,South,Tablet,Retail,5,2179.55
2024-09-25,North,Headphones,Retail,48,6968.9
2024-09-26,West,Headphones,Partner,5,693.8
2024-09-26,North,Laptop,Retail,29,24490.0
2024-10-01,South,Phone,Retail,34,20162.71
2024-10-01,South,Tablet,Retail,13,5155.85
2024-10-01,North,Laptop,Online,55,45449.31
2024-10-01,North,Headphones,Online,46,6614.59
2024-10-01,East,Laptop,Online,22,16468.56
2024-10-02,South,Phone,Partner,49,29963.39
2024-10-02,South,Headphones,Retail,24,3722.75
2024-10-03,East,Smartwatch,Partner,18,4797.43
2024-10-03,North,Laptop,Online,14,10990.37
2024-10-03,North,Phone,Online,19,11133.32
2024-10-05,North,Phone,Retail,2,1310.75
2024-10-05,West,Tablet,Online,63,25940.38
2024-10-05,West,Smartwatch,Retail,15,3560.63
2024-10-06,South,Smartwatch,Online,61,15132.95
2024-10-06,South,Headphones,Online,23,3405.73
2024-10-06,North,Tablet,Partner,36,13386.51
2024-10-08,East,Tablet,Online,59,24589.14
2024-10-08,East,Smartwatch,Partner,40,9237.62
2024-10-09,West,Laptop,Partner,1,832.46
2024-10-10,North,Laptop,Partner,35,29404.92
2024-10-10,East,Headphones,Partner,36,5217.25
2024-10-10,East,Laptop,Online,22,16246.31
2024-10-11,West,Phone,Online,24,13586.98
2024-10-12,West,Laptop,Online,7,5436.38
2024-10-13,West,Headphones,Online,33,5078.46
2024-10-13,East,Headphones,Partner,47,7602.75
2024-10-14,South,Smartwatch,Retail,15,3711.91
2024-10-14,East,Laptop,Retail,23,19774.88
2024-10-14,East,Smartwatch,Retail,38,9308.86
2024-10-15,South,Headphones,Partner,17,2686.12
2024-10-15,North,Laptop,Partner,14,11213.18
2024-10-15,East,Headphones,Online,31,4493.05
2024-10-15,North,Laptop,Partner,33,24827.39
2024-10-15,North,Smartwatch,Retail,44,11675.21
2024-10-16,South,Laptop,Partner,14,11393.5
2024-10-17,North,Laptop,Online,14,11769.94
2024-10-18,South,Smartwatch,Partner,3,767.91
2024-10-19,East,Smartwatch,Retail,45,10789.27
2024-10-20,South,Headphones,Partner,50,7977.64
2024-10-20,North,Tablet,Partner,24,9970.12
2024-10-20,East,Headphones,Partner,9,1380.23
2024-10-21,South,Phone,Retail,28,15125.26
2024-10-21,East,Smartwatch,Partner,50,12931.33
2024-10-22,South,Phone,Partner,31,17574.19
2024-10-22,South,Tablet,Online,59,23298.19
2024-10-23,West,Tablet,Online,16,6182.23
2024-10-23,South,Laptop,Partner,31,23165.74
2024-10-24,South,Phone,Partner,40,25059.04
2024-10-26,North,Smartwatch,Retail,31,6984.14
2024-10-26,West,Tablet,Online,57,21586.23
2024-10-27,South,Headphones,Online,26,3636.71
2024-10-27,West,Phone,Retail,35,20934.23
2024-10-28,East,Laptop,Online,24,18153.54
2024-10-30,West,Smartwatch,Partner,20,4545.42
2024-10-31,West,Tablet,Online,53,20238.91
2024-10-31,South,Headphones,Online,11,1585.54
2024-11-01,North,Laptop,Retail,16,14051.38
2024-11-01,South,Smartwatch,Retail,29,7842.33
2024-11-02,West,Smartwatch,Retail,35,8761.57
2024-11-04,South,Tablet,Online,49,20241.36
2024-11-04,South,Smartwatch,Retail,21,4832.73
2024-11-05,East,Smartwatch,Online,2,458.12
2024-11-05,West,Laptop,Partner,8,6851.57
2024-11-05,West,Smartwatch,Online,5,1237.63
2024-11-06,West,Phone,Partner,49,30751.99
2024-11-06,West,Headphones,Retail,14,2207.08
2024-11-06,East,Headphones,Partner,36,5845.82
2024-11-07,South,Smartwatch,Partner,16,3730.72
2024-11-07,West,Laptop,Retail,16,12290.95
2024-11-08,North,Headphones,Retail,41,6243.08
2024-11-09,East,Phone,Retail,40,25148.73
2024-11-10,North,Smartwatch,Partner,11,2800.49
2024-11-10,North,Smartwatch,Partner,45,10726.76
2024-11-12,East,Phone,Partner,5,2749.22
2024-11-13,South,Headphones,Partner,10,1419.66
2024-11-13,East,Tablet,Retail,26,9524.36
2024-11-14,South,Phone,Online,40,24813.4
2024-11-14,West,Headphones,Online,18,2574.21
2024-11-16,South,Headphones,Online,45,6378.49
2024-11-16,East,Smartwatch,Partner,13,3024.35
2024-11-17,East,Smartwatch,Online,59,13480.19
2024-11-18,West,Phone,Partner,16,8700.62
2024-11-18,South,Phone,Retail,36,19499.07
2024-11-18,North,Phone,Online,48,31386.96
2024-11-18,North,Smartwatch,Retail,17,4647.01
2024-11-19,North,Phone,Online,3,1929.47
2024-11-19,East,Tablet,Partner,4,1552.62
2024-11-22,West,Laptop,Online,48,36743.73
2024-11-22,East,Headphones,Retail,43,5817.12
2024-11-22,West,Tablet,Partner,48,19888.94
2024-11-23,North,Laptop,Partner,18,13665.29
2024-11-24,East,Phone,Partner,27,16582.67
2024-11-24,East,Laptop,Retail,28,20868.55
2024-11-25,West,Smartwatch,Retail,45,11061.73
2024-11-25,West,Phone,Retail,9,5126.36
2024-11-26,East,Laptop,Retail,18,13506.65
2024-11-26,South,Phone,Online,13,7419.31
2024-11-27,South,Headphones,Partner,19,2855.06
2024-11-29,East,Smartwatch,Partner,50,12458.74
2024-11-29,South,Headphones,Retail,15,2211.22
2024-11-29,North,Laptop,Online,16,13668.43
2024-12-02,North,Smartwatch,Partner,49,11839.67
2024-12-03,West,Tablet,Online,48,20601.86
2024-12-03,South,Laptop,Partner,42,30504.92
2024-12-03,South,Headphones,Retail,5,742.36
2024-12-04,East,Laptop,Partner,42,32533.07
2024-12-04,South,Tablet,Online,19,8157.06
2024-12-05,West,Smartwatch,Retail,21,5729.52
2024-12-07,West,Tablet,Retail,45,17264.36
2024-12-08,East,Laptop,Retail,48,34884.88
2024-12-09,North,Phone,Retail,27,16827.5
2024-12-13,North,Tablet,Online,28,10291.69
2024-12-13,South,Tablet,Online,40,14734.56
2024-12-13,West,Tablet,Retail,47,20121.89
2024-12-14,East,Smartwatch,Retail,13,3547.27
2024-12-14,South,Smartwatch,Retail,6,1619.67
2024-12-16,West,Headphones,Partner,12,1912.14
2024-12-16,North,Laptop,Online,33,25762.51
2024-12-16,North,Smartwatch,Online,29,7297.48
2024-12-18,North,Laptop,Retail,15,11222.13
2024-12-19,South,Phone,Online,62,37082.44
2024-12-19,South,Laptop,Partner,50,38412.66
2024-12-20,West,Smartwatch,Online,31,8062.53
2024-12-22,West,Smartwatch,Partner,47,10938.13
2024-12-22,West,Headphones,Retail,16,2230.83
2024-12-22,West,Laptop,Partner,16,13868.72
2024-12-24,South,Tablet,Partner,15,5545.63
2024-12-24,West,Tablet,Partner,35,13982.63
2024-12-24,North,Phone,Online,37,21372.79
2024-12-25,West,Tablet,Retail,17,6433.53
2024-12-26,North,Headphones,Online,58,8351.07
2024-12-26,West,Phone,Partner,19,11842.28
2024-12-28,South,Headphones,Retail,45,6168.36
2024-12-28,West,Headphones,Partner,34,5212.0
2024-12-29,North,Laptop,Retail,42,30974.92
2024-12-30,West,Headphones,Online,7,1006.79
